SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,CHNG,%CHNG,VOLUME (shares),VALUE (₹ Crores),52W H ,52W L ,30 D   %CHNG ,"365 D % CHNG 
 01-Sep-2023"
NIFTY 50,"24,999.40","25,130.50","24,896.80","24,936.40","25,041.10",104.7,0.42,"25,12,74,802","27,846.17","25,333.65","18,837.85",2.1,29.85
DIVISLAB,"5,200.95","5,447.35","5,198.00","5,173.50","5,444.00",270.5,5.23,"16,28,691",872.03,"5,447.35","3,295.30",2.06,41.92
LTIM,"6,205.65","6,400.00","6,177.30","6,146.60","6,332.00",185.4,3.02,"9,29,755",587.97,"6,442.00","4,513.55",11.73,16.08
NTPC,390.1,399.4,389.75,389.85,399.15,9.3,2.39,"1,58,52,309",624.69,426.3,227.75,-0.83,80.41
BHARTIARTL,"1,545.15","1,586.00","1,545.15","1,542.65","1,577.10",34.45,2.23,"61,63,457",968.57,"1,608.40",883.6,6.38,83.5
WIPRO,516.8,528,514,514.85,525.25,10.4,2.02,"51,43,636",268.46,579.9,375.05,7.22,29.31
HCLTECH,"1,749.45","1,789.30","1,747.15","1,746.75","1,781.60",34.85,2,"23,07,528",408.88,"1,817.15","1,208.55",8.94,47.85
TECHM,"1,592.00","1,613.70","1,578.50","1,579.20","1,610.65",31.45,1.99,"25,41,973",406.53,"1,665.00","1,098.15",8.54,33.26
POWERGRID,327,335.3,327,328.55,334.75,6.2,1.89,"1,54,72,387",515.9,362.5,190.65,-5.82,33.78
BAJAJ-AUTO,"10,793.40","11,035.70","10,780.05","10,847.60","11,024.95",177.35,1.63,"4,66,892",509.63,"11,154.10","4,762.60",13.26,133.3
COALINDIA,487.3,492,481.8,484.45,491.5,7.05,1.46,"98,09,547",478.25,543.55,269,0.09,121.59
TCS,"4,442.45","4,539.95","4,440.45","4,449.55","4,510.00",60.45,1.36,"13,85,591",623.44,"4,592.25","3,311.00",6.32,34.76
AXISBANK,"1,178.90","1,190.85","1,173.35","1,170.85","1,186.55",15.7,1.34,"87,23,854","1,034.44","1,339.65",951.4,1.24,18.57
MARUTI,"12,150.10","12,288.05","12,098.00","12,145.75","12,278.90",133.15,1.1,"2,85,122",347.44,"13,680.00","9,737.65",-2.54,20.05
INFY,"1,904.90","1,935.00","1,896.00","1,894.65","1,914.15",19.5,1.03,"69,09,600","1,327.00","1,975.75","1,351.65",6.73,34.62
TITAN,"3,704.00","3,750.00","3,666.00","3,684.55","3,720.50",35.95,0.98,"11,09,078",412.88,"3,886.95","3,055.65",2.97,14.38
APOLLOHOSP,"6,900.00","6,975.85","6,860.70","6,860.70","6,926.00",65.3,0.95,"3,54,522",245.14,"7,044.00","4,726.00",3.24,43.12
ADANIPORTS,"1,439.00","1,464.00","1,435.00","1,435.90","1,449.00",13.1,0.91,"15,42,798",224,"1,621.40",754.5,-6.68,85.35
TATACONSUM,"1,200.00","1,212.95","1,196.25","1,192.05","1,201.55",9.5,0.8,"18,15,998",219.13,"1,256.44",846.29,0.54,42.17
SUNPHARMA,"1,830.00","1,842.25","1,825.70","1,821.85","1,836.10",14.25,0.78,"14,60,472",268.21,"1,850.00","1,068.35",5.2,64.26
ADANIENT,"2,971.60","3,007.40","2,947.60","2,964.15","2,986.00",21.85,0.74,"8,03,782",239.18,"3,743.90","2,142.00",-4.48,23.24
INDUSINDBK,"1,428.90","1,438.50","1,420.60","1,428.10","1,437.50",9.4,0.66,"24,14,043",345.96,"1,694.50","1,329.20",1.49,0.61
CIPLA,"1,633.00","1,644.35","1,624.30","1,620.15","1,630.70",10.55,0.65,"12,48,269",204.18,"1,681.60","1,132.00",8.25,32.88
NESTLEIND,"2,529.00","2,547.90","2,514.00","2,516.75","2,532.75",16,0.64,"15,22,039",386.2,"2,769.30","2,187.34",0.23,-88.59
LT,"3,585.00","3,625.00","3,571.00","3,578.30","3,600.00",21.7,0.61,"12,03,483",433.11,"3,919.90","2,846.05",1.06,37.1
ULTRACEMCO,"11,539.90","11,639.45","11,460.50","11,494.35","11,555.00",60.65,0.53,"2,37,496",274.25,"12,078.00","8,045.05",-3.93,36.79
JSWSTEEL,934.1,948.5,929.8,934.25,939,4.75,0.51,"13,88,455",130.53,968.9,723,4.62,16.7
ASIANPAINT,"3,290.00","3,310.00","3,270.90","3,280.75","3,292.05",11.3,0.34,"9,28,920",306.11,"3,422.95","2,670.10",0.65,-4.07
BRITANNIA,"5,980.05","6,010.00","5,930.05","5,939.45","5,959.00",19.55,0.33,"3,37,831",201.61,"6,010.00","4,347.70",2.36,30.57
HINDALCO,664.9,666.8,653.7,658.55,660.5,1.95,0.3,"33,04,741",217.98,715.25,448.75,8.22,48.2
HDFCBANK,"1,654.00","1,654.00","1,638.00","1,646.50","1,650.80",4.3,0.26,"1,33,03,323","2,192.64","1,794.00","1,363.55",-1.34,3.95
ITC,511.9,515,508.75,511.75,512.9,1.15,0.22,"1,09,11,995",559.63,515.95,399.35,2.62,13.8
ICICIBANK,"1,236.95","1,241.35","1,227.00","1,235.00","1,237.70",2.7,0.22,"1,55,45,130","1,921.13","1,257.80",899,2.73,26.89
DRREDDY,"6,694.00","6,697.80","6,613.15","6,655.90","6,661.50",5.6,0.08,"4,65,624",309.71,"7,107.45","5,205.55",0.96,26.04
TATASTEEL,150.5,151.59,148.81,149.47,149.59,0.12,0.08,"4,16,07,844",623.78,184.6,114.6,-3.45,20.24
RELIANCE,"2,921.00","2,944.10","2,915.15","2,924.90","2,924.00",-0.9,-0.03,"53,84,130","1,576.88","3,217.60","2,220.30",0.69,25.14
KOTAKBANK,"1,798.00","1,799.65","1,778.05","1,790.15","1,789.55",-0.6,-0.03,"34,97,612",626.4,"1,926.50","1,543.85",-1.26,0.55
GRASIM,"2,700.00","2,715.15","2,677.00","2,710.35","2,704.50",-5.85,-0.22,"4,31,289",116.37,"2,877.75","1,828.05",-0.29,48.98
SBIN,788,788.8,777.5,784.25,782.5,-1.75,-0.22,"1,28,24,701","1,003.40",912,543.2,-3.8,43.2
BPCL,349,351.5,344.65,347.8,346.75,-1.05,-0.3,"81,37,710",282.81,367.2,165.73,3.04,3.91
TATAMOTORS,"1,049.00","1,049.00","1,032.20","1,038.70","1,035.00",-3.7,-0.36,"69,19,238",718.72,"1,179.00",608.3,1.34,81.83
EICHERMOT,"4,749.00","4,767.50","4,689.35","4,747.35","4,722.55",-24.8,-0.52,"4,04,100",191.47,"5,058.90","3,275.00",4.95,45.88
M&M,"2,691.25","2,715.00","2,677.00","2,708.85","2,694.00",-14.85,-0.55,"20,34,126",547.7,"3,013.50","1,450.00",2.03,76.22
HINDUNILVR,"2,934.00","2,937.60","2,887.50","2,921.80","2,902.30",-19.5,-0.67,"15,36,584",446.97,"2,938.20","2,172.05",3.17,10.91
ONGC,300.1,301.5,295,298.9,295.9,-3,-1,"1,56,18,589",464.26,345,179.9,0.2,81.98
HEROMOTOCO,"5,797.00","5,864.15","5,658.25","5,745.30","5,678.20",-67.1,-1.17,"7,75,935",445.19,"5,894.55","2,923.95",3.44,86.36
BAJFINANCE,"7,369.95","7,369.95","7,193.00","7,347.45","7,244.00",-103.45,-1.41,"13,08,932",948.64,"8,192.00","6,187.80",7.07,-1.65
BAJAJFINSV,"1,874.80","1,874.80","1,815.25","1,860.45","1,827.90",-32.55,-1.75,"21,55,688",393.95,"1,898.00","1,419.05",9.83,17.73
SHRIRAMFIN,"3,327.90","3,337.90","3,230.15","3,315.70","3,256.05",-59.65,-1.8,"12,38,014",404.49,"3,337.90","1,760.85",7.1,67.59
SBILIFE,"1,890.00","1,890.00","1,838.75","1,901.75","1,855.00",-46.75,-2.46,"25,15,665",467.46,"1,936.00","1,264.35",6.04,40.12
HDFCLIFE,730,732.15,701.2,735.8,703.4,-32.4,-4.4,"73,66,304",522.85,761.2,511.4,4.42,15.18
